protocol,train_mode,test_mode,outer_fold,metrics_path,accuracy,precision,recall,specificity,f1,roc_auc,n_rows,threshold,tn,fp,fn,tp
patient,balanced_50_50,unbalanced_20_80,outer_fold_014,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_014/unbalanced_20_80/metrics.json,0.8283341806473479,0.9349635796045785,0.15226232841891205,0.9973521437044569,0.2618770037889828,0.7815381698666304,59010,0.7192215323448181,47083,125,10005,1797
patient,balanced_50_50,balanced_50_50,outer_fold_015,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_015/balanced_50_50/metrics.json,0.6844262295081968,0.6278409090909091,0.9057377049180327,0.46311475409836067,0.7416107382550335,0.8016536213383497,976,0.04743940383195877,226,262,46,442
patient,balanced_50_50,unbalanced_20_80,outer_fold_015,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_015/unbalanced_20_80/metrics.json,0.5729508196721311,0.30737134909596664,0.9057377049180327,0.48975409836065575,0.45898234683281414,0.8019528100644988,2440,0.04743940383195877,956,996,46,442
patient,balanced_50_50,balanced_50_50,outer_fold_016,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_016/balanced_50_50/metrics.json,0.8700431034482758,0.9704109589041096,0.7633620689655173,0.9767241379310345,0.8545235223160434,0.9631075356718193,4640,0.8198593854904175,2266,54,549,1771
patient,balanced_50_50,unbalanced_20_80,outer_fold_016,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_016/unbalanced_20_80/metrics.json,0.9318103448275862,0.8797814207650273,0.7633620689655173,0.9739224137931034,0.8174474959612278,0.9628260162752675,11600,0.8198593854904175,9038,242,549,1771
patient,balanced_50_50,balanced_50_50,outer_fold_017,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_017/balanced_50_50/metrics.json,0.6989549839228296,0.9669811320754716,0.4119774919614148,0.9859324758842444,0.5777903043968432,0.9346598399003321,4976,0.8063110113143921,2453,35,1463,1025
patient,balanced_50_50,unbalanced_20_80,outer_fold_017,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_017/unbalanced_20_80/metrics.json,0.8740353697749196,0.9078830823737821,0.4119774919614148,0.9895498392282959,0.566768039811999,0.9360637854305168,12440,0.8063110113143921,9848,104,1463,1025
patient,balanced_50_50,balanced_50_50,outer_fold_018,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_018/balanced_50_50/metrics.json,0.8143776824034334,0.9827018121911038,0.6400214592274678,0.9887339055793991,0.7751786874593891,0.9346975791596824,3728,0.8527491688728333,1843,21,671,1193
patient,balanced_50_50,unbalanced_20_80,outer_fold_018,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_018/unbalanced_20_80/metrics.json,0.9200643776824035,0.941594317284925,0.6400214592274678,0.9900751072961373,0.7620568508463749,0.935825008864595,9320,0.8527491688728333,7382,74,671,1193
patient,balanced_50_50,balanced_50_50,outer_fold_019,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_019/balanced_50_50/metrics.json,0.705201048951049,0.9845201238390093,0.416958041958042,0.9934440559440559,0.5858151673319005,0.8352012934617831,4576,0.8609814047813416,2273,15,1334,954
